Customer;Year;Month;Product;Quantity;Total TTC 
Magasin 227;2025;1;Dentifrice;422;281
Magasin 247;2023;7;Yaourt;422;408
Magasin 883;2011;5;Jouet A;118;279
Magasin 887;2017;11;Dentifrice;482;283
Magasin 343;2024;7;Yaourt;330;234
Magasin 190;2014;9;Jouet A;490;85
Magasin 792;2010;10;Dentifrice;146;221
Magasin 381;2022;3;Yaourt;363;87
Magasin 486;2017;12;Jouet A;375;2
Magasin 677;2012;1;Dentifrice;206;444
Magasin 338;2019;6;Yaourt;377;183
Magasin 216;2023;9;Jouet A;357;90
Magasin 764;2010;5;Dentifrice;123;330
Magasin 513;2026;2;Yaourt;28;58
Magasin 799;2020;11;Jouet A;99;343
Magasin 714;2026;5;Dentifrice;397;99
Magasin 460;2010;8;Yaourt;89;143
Magasin 597;2015;3;Jouet A;9;113
Magasin 972;2017;3;Dentifrice;384;43
Magasin 950;2015;2;Yaourt;492;392
Magasin 873;2011;4;Jouet A;160;377
Magasin 301;2019;5;Dentifrice;409;402
Magasin 61;2019;11;Yaourt;468;103
Magasin 135;2023;11;Jouet A;288;73
Magasin 771;2018;7;Dentifrice;199;365
Magasin 962;2014;2;Yaourt;489;164
Magasin 802;2016;5;Jouet A;302;333
Magasin 638;2017;12;Dentifrice;476;309
Magasin 943;2015;7;Yaourt;341;377
Magasin 926;2019;7;Jouet A;360;427
Magasin 756;2012;2;Dentifrice;250;216
Magasin 385;2025;4;Yaourt;29;372
Magasin 473;2010;6;Jouet A;176;461
Magasin 468;2016;3;Dentifrice;465;380
Magasin 765;2018;7;Yaourt;397;286
Magasin 43;2022;6;Jouet A;64;106
Magasin 169;2010;3;Dentifrice;347;421
Magasin 355;2022;4;Yaourt;383;186
Magasin 699;2018;4;Jouet A;248;285
Magasin 951;2015;9;Dentifrice;403;52
Magasin 229;2023;7;Yaourt;154;23
Magasin 435;2016;5;Jouet A;329;52
Magasin 592;2012;7;Dentifrice;50;263
Magasin 148;2011;4;Yaourt;443;442
Magasin 848;2014;11;Jouet A;447;90
Magasin 54;2026;3;Dentifrice;223;430
Magasin 966;2011;12;Yaourt;54;207
Magasin 404;2025;12;Jouet A;488;192
Magasin 890;2025;8;Dentifrice;412;34
Magasin 93;2024;7;Yaourt;299;311
Magasin 625;2011;7;Jouet A;145;290
Magasin 146;2025;2;Dentifrice;335;305
Magasin 972;2011;9;Yaourt;77;437
Magasin 667;2025;1;Jouet A;252;331
Magasin 2;2010;10;Dentifrice;128;36
Magasin 780;2019;2;Yaourt;465;180
Magasin 874;2015;12;Jouet A;176;149
Magasin 179;2024;2;Dentifrice;376;94
Magasin 112;2021;11;Yaourt;207;240
Magasin 515;2012;2;Jouet A;353;436
Magasin 587;2015;7;Dentifrice;292;302
Magasin 77;2026;5;Yaourt;212;444
Magasin 700;2021;1;Jouet A;4;269
Magasin 344;2020;5;Dentifrice;98;442
Magasin 618;2016;6;Yaourt;82;415
Magasin 191;2025;5;Jouet A;278;252
Magasin 126;2014;6;Dentifrice;457;184
Magasin 172;2013;3;Yaourt;468;32
Magasin 747;2011;3;Jouet A;266;27
Magasin 103;2021;9;Dentifrice;373;163
Magasin 129;2012;6;Yaourt;250;322
Magasin 306;2024;2;Jouet A;117;78
Magasin 355;2019;6;Dentifrice;364;278
Magasin 838;2023;9;Yaourt;177;452
Magasin 775;2023;11;Jouet A;71;164
Magasin 452;2018;6;Dentifrice;318;160
Magasin 990;2019;7;Yaourt;382;276
Magasin 894;2019;10;Jouet A;374;351
Magasin 106;2019;6;Dentifrice;53;103
Magasin 947;2014;2;Yaourt;260;499
Magasin 327;2014;11;Jouet A;47;257
Magasin 723;2014;10;Dentifrice;60;72
Magasin 196;2016;10;Yaourt;241;141
Magasin 655;2017;12;Jouet A;214;492
Magasin 573;2024;1;Dentifrice;134;494
Magasin 821;2022;10;Yaourt;493;284
Magasin 592;2026;9;Jouet A;401;284
Magasin 691;2023;11;Dentifrice;380;118
Magasin 785;2015;10;Yaourt;136;283
Magasin 896;2016;4;Jouet A;393;241
Magasin 596;2023;12;Dentifrice;219;328
Magasin 184;2017;12;Yaourt;460;179
Magasin 93;2023;5;Jouet A;266;211
Magasin 316;2012;1;Dentifrice;469;267
Magasin 842;2013;2;Yaourt;395;161
Magasin 311;2011;3;Jouet A;19;224
Magasin 501;2023;4;Dentifrice;321;492
Magasin 399;2024;9;Yaourt;28;477
Magasin 884;2016;8;Jouet A;15;349
Magasin 765;2014;9;Dentifrice;360;129
Magasin 687;2024;2;Yaourt;243;398
Magasin 944;2017;2;Jouet A;446;397
Magasin 820;2013;10;Dentifrice;100;282
Magasin 601;2022;8;Yaourt;367;425
Magasin 612;2017;4;Jouet A;142;29
Magasin 192;2017;12;Dentifrice;177;118
Magasin 997;2014;2;Yaourt;276;411
Magasin 48;2020;3;Jouet A;45;122
Magasin 917;2022;11;Dentifrice;480;261
Magasin 436;2025;12;Yaourt;498;410
Magasin 821;2015;9;Jouet A;425;482
Magasin 923;2011;6;Dentifrice;15;497
Magasin 577;2017;7;Yaourt;146;122
Magasin 323;2012;8;Jouet A;168;196
Magasin 498;2023;5;Dentifrice;299;269
Magasin 302;2026;4;Yaourt;458;394
Magasin 92;2018;1;Jouet A;459;13
Magasin 242;2012;11;Dentifrice;174;56
Magasin 910;2018;5;Yaourt;354;297
Magasin 414;2026;9;Jouet A;306;363
Magasin 590;2013;12;Dentifrice;2;276
Magasin 616;2016;2;Yaourt;214;316
Magasin 774;2024;1;Jouet A;359;243
Magasin 956;2013;7;Dentifrice;396;488
Magasin 10;2022;3;Yaourt;489;120
Magasin 273;2022;2;Jouet A;177;402
Magasin 216;2023;9;Dentifrice;65;386
Magasin 919;2021;5;Yaourt;158;16
Magasin 13;2010;6;Jouet A;239;316
Magasin 564;2020;8;Dentifrice;55;26
Magasin 863;2026;5;Yaourt;265;339
Magasin 130;2026;8;Jouet A;278;109
Magasin 972;2011;10;Dentifrice;32;52
Magasin 210;2011;3;Yaourt;296;13
Magasin 356;2018;9;Jouet A;211;9
Magasin 583;2013;3;Dentifrice;433;215
Magasin 895;2017;10;Yaourt;368;36
Magasin 185;2022;7;Jouet A;114;113
Magasin 428;2015;6;Dentifrice;43;281
Magasin 180;2025;3;Yaourt;111;425
Magasin 807;2021;6;Jouet A;294;103
Magasin 232;2013;3;Dentifrice;392;340
Magasin 447;2017;5;Yaourt;85;495
Magasin 798;2011;1;Jouet A;21;287
Magasin 675;2015;6;Dentifrice;82;417
Magasin 273;2017;1;Yaourt;338;7
Magasin 175;2011;8;Jouet A;287;444
Magasin 780;2022;11;Dentifrice;170;346
Magasin 876;2019;9;Yaourt;22;442
Magasin 189;2021;3;Jouet A;213;238
Magasin 192;2015;10;Dentifrice;266;202
Magasin 540;2012;7;Yaourt;246;413
Magasin 341;2019;8;Jouet A;374;50
Magasin 44;2010;1;Dentifrice;242;450
Magasin 732;2018;2;Yaourt;303;2
Magasin 729;2020;8;Jouet A;121;272
Magasin 875;2023;3;Dentifrice;413;461
Magasin 992;2013;3;Yaourt;172;20
Magasin 116;2025;9;Jouet A;305;466
Magasin 568;2011;7;Dentifrice;277;316
Magasin 115;2018;7;Yaourt;466;432
Magasin 638;2017;10;Jouet A;109;22
Magasin 900;2018;7;Dentifrice;6;108
Magasin 327;2016;3;Yaourt;210;239
Magasin 741;2018;9;Jouet A;23;303
Magasin 891;2016;12;Dentifrice;389;228
Magasin 37;2010;8;Yaourt;401;317
Magasin 920;2010;9;Jouet A;276;103
Magasin 781;2025;3;Dentifrice;292;150
Magasin 381;2019;10;Yaourt;312;208
Magasin 292;2019;6;Jouet A;408;63
Magasin 5;2012;3;Dentifrice;466;179
Magasin 807;2022;1;Yaourt;277;119
Magasin 373;2026;1;Jouet A;261;414
Magasin 164;2021;10;Dentifrice;155;9
Magasin 689;2010;2;Yaourt;495;327
Magasin 924;2018;9;Jouet A;208;106
Magasin 419;2013;1;Dentifrice;336;152
Magasin 448;2019;9;Yaourt;352;11
Magasin 253;2016;4;Jouet A;162;340
Magasin 812;2010;9;Dentifrice;30;202
Magasin 413;2019;11;Yaourt;232;331
Magasin 851;2016;6;Jouet A;478;407
Magasin 275;2018;4;Dentifrice;31;184
Magasin 324;2019;12;Yaourt;391;50
Magasin 574;2022;7;Jouet A;95;334
Magasin 516;2019;2;Dentifrice;243;130
Magasin 774;2020;10;Yaourt;71;482
Magasin 964;2013;2;Jouet A;30;311
Magasin 641;2022;3;Dentifrice;277;374
Magasin 853;2019;9;Yaourt;236;180
Magasin 850;2021;12;Jouet A;390;223
Magasin 690;2010;5;Dentifrice;85;119
Magasin 773;2012;12;Yaourt;61;253
Magasin 989;2024;8;Jouet A;204;370
Magasin 802;2020;1;Dentifrice;397;294
Magasin 308;2013;11;Yaourt;272;405
Magasin 894;2018;3;Jouet A;422;45
Magasin 54;2022;8;Dentifrice;242;128
Magasin 507;2018;6;Yaourt;263;418
Magasin 596;2018;10;Jouet A;77;482
Magasin 332;2013;11;Dentifrice;116;373
Magasin 814;2012;12;Yaourt;89;243
Magasin 830;2019;12;Jouet A;309;72
Magasin 121;2020;3;Dentifrice;24;203
Magasin 418;2011;6;Yaourt;186;223
Magasin 182;2025;12;Jouet A;419;150
Magasin 649;2016;2;Dentifrice;48;450
Magasin 559;2019;4;Yaourt;137;321
Magasin 389;2010;9;Jouet A;287;285
Magasin 741;2010;3;Dentifrice;498;432
Magasin 167;2025;5;Yaourt;203;283
Magasin 325;2025;6;Jouet A;18;6
Magasin 261;2020;2;Dentifrice;86;236
Magasin 124;2025;7;Yaourt;363;400
Magasin 970;2018;8;Jouet A;201;334
Magasin 897;2020;4;Dentifrice;257;309
Magasin 460;2013;9;Yaourt;20;257
Magasin 950;2011;12;Jouet A;475;213
Magasin 192;2021;7;Dentifrice;413;417
Magasin 24;2014;8;Yaourt;173;332
Magasin 566;2011;7;Jouet A;19;315
Magasin 573;2023;1;Dentifrice;441;486
Magasin 516;2021;8;Yaourt;241;50
Magasin 475;2012;12;Jouet A;409;192
Magasin 822;2019;5;Dentifrice;25;376
Magasin 773;2019;1;Yaourt;5;116
Magasin 82;2026;7;Jouet A;197;249
Magasin 146;2019;1;Dentifrice;454;475
Magasin 152;2022;5;Yaourt;363;55
Magasin 659;2014;2;Jouet A;280;231
Magasin 358;2019;4;Dentifrice;62;258
Magasin 186;2010;9;Yaourt;267;415
Magasin 498;2026;8;Jouet A;37;367
Magasin 882;2016;6;Dentifrice;185;299
Magasin 759;2014;8;Yaourt;119;104
Magasin 232;2015;1;Jouet A;202;117
Magasin 96;2017;7;Dentifrice;169;51
Magasin 435;2022;11;Yaourt;129;295
Magasin 622;2020;4;Jouet A;284;198
Magasin 948;2017;6;Dentifrice;294;88
Magasin 238;2015;4;Yaourt;179;37
Magasin 573;2023;6;Jouet A;302;346
Magasin 864;2019;11;Dentifrice;176;133
Magasin 303;2011;5;Yaourt;261;236
Magasin 900;2019;10;Jouet A;465;30
Magasin 964;2026;8;Dentifrice;18;140
Magasin 874;2019;4;Yaourt;219;235
Magasin 154;2016;12;Jouet A;116;146
Magasin 390;2015;6;Dentifrice;86;359
Magasin 490;2018;6;Yaourt;445;415
Magasin 114;2025;12;Jouet A;491;227
Magasin 247;2013;9;Dentifrice;323;204
Magasin 868;2014;3;Yaourt;98;192
Magasin 836;2016;10;Jouet A;119;54
Magasin 979;2018;4;Dentifrice;270;236
Magasin 756;2014;8;Yaourt;487;6
Magasin 244;2021;12;Jouet A;329;3
Magasin 612;2017;6;Dentifrice;89;80
Magasin 614;2021;4;Yaourt;169;279
Magasin 615;2015;11;Jouet A;287;488
Magasin 224;2014;8;Dentifrice;454;375
Magasin 710;2021;12;Yaourt;294;435
Magasin 139;2025;2;Jouet A;106;362
Magasin 740;2026;4;Dentifrice;68;54
Magasin 149;2021;3;Yaourt;418;245
Magasin 188;2022;8;Jouet A;152;182
Magasin 826;2013;9;Dentifrice;74;28
Magasin 931;2018;12;Yaourt;168;478
Magasin 243;2010;11;Jouet A;428;317
Magasin 217;2013;11;Dentifrice;183;419
Magasin 762;2015;2;Yaourt;163;371
Magasin 193;2010;1;Jouet A;36;238
Magasin 872;2010;5;Dentifrice;355;49
Magasin 591;2014;5;Yaourt;430;66
Magasin 506;2014;11;Jouet A;472;382
Magasin 870;2021;2;Dentifrice;188;387
Magasin 35;2021;1;Yaourt;257;406
Magasin 83;2016;9;Jouet A;224;293
Magasin 266;2022;1;Dentifrice;78;90
Magasin 289;2012;10;Yaourt;106;4
Magasin 544;2018;8;Jouet A;431;488
Magasin 895;2021;6;Dentifrice;270;230
Magasin 514;2020;3;Yaourt;300;468
Magasin 81;2019;1;Jouet A;139;145
Magasin 633;2015;11;Dentifrice;15;101
Magasin 110;2024;8;Yaourt;129;77
Magasin 667;2025;12;Jouet A;72;142
Magasin 458;2015;10;Dentifrice;79;356
Magasin 491;2011;8;Yaourt;331;42
Magasin 842;2020;9;Jouet A;88;128
Magasin 39;2025;2;Dentifrice;348;4
Magasin 204;2023;7;Yaourt;83;396
Magasin 270;2012;6;Jouet A;437;172
Magasin 348;2017;8;Dentifrice;19;444
Magasin 123;2018;11;Yaourt;129;223
Magasin 538;2015;7;Jouet A;322;402
Magasin 590;2013;5;Dentifrice;199;162
Magasin 100;2020;6;Yaourt;417;496
Magasin 971;2011;3;Jouet A;138;196
Magasin 625;2025;3;Dentifrice;219;44
Magasin 495;2024;1;Yaourt;455;170
Magasin 629;2025;5;Jouet A;461;106
Magasin 890;2025;11;Dentifrice;238;150
Magasin 344;2015;10;Yaourt;496;438
Magasin 945;2023;8;Jouet A;492;410
Magasin 677;2017;8;Dentifrice;130;372
Magasin 649;2014;2;Yaourt;244;102
Magasin 475;2015;6;Jouet A;491;469
Magasin 17;2013;3;Dentifrice;253;287
Magasin 181;2013;10;Yaourt;343;254
Magasin 436;2013;12;Jouet A;119;215
Magasin 918;2014;11;Dentifrice;337;73
Magasin 560;2018;7;Yaourt;291;132
Magasin 117;2015;1;Jouet A;431;261
Magasin 585;2015;11;Dentifrice;18;450
Magasin 355;2024;6;Yaourt;294;338
Magasin 735;2024;2;Jouet A;197;90
Magasin 833;2026;1;Dentifrice;205;425
Magasin 4;2021;11;Yaourt;226;399
Magasin 163;2012;6;Jouet A;237;161
Magasin 505;2023;5;Dentifrice;205;78
Magasin 717;2024;4;Yaourt;460;57
Magasin 797;2021;8;Jouet A;153;391
Magasin 897;2014;7;Dentifrice;64;424
Magasin 950;2021;4;Yaourt;28;194
Magasin 455;2021;7;Jouet A;496;18
Magasin 189;2011;10;Dentifrice;493;169
Magasin 76;2025;5;Yaourt;72;183
Magasin 758;2020;12;Jouet A;265;22
Magasin 742;2011;8;Dentifrice;122;495
Magasin 753;2011;1;Yaourt;25;316
Magasin 322;2022;11;Jouet A;133;425
Magasin 892;2016;1;Dentifrice;63;229
Magasin 392;2010;6;Yaourt;387;198
Magasin 757;2026;1;Jouet A;72;439
Magasin 885;2010;6;Dentifrice;246;158
Magasin 278;2015;3;Yaourt;407;184
Magasin 112;2013;3;Jouet A;89;97
Magasin 564;2023;2;Dentifrice;297;211
Magasin 894;2011;6;Yaourt;499;301
Magasin 122;2018;2;Jouet A;454;406
Magasin 127;2018;8;Dentifrice;453;358
Magasin 328;2021;7;Yaourt;438;112
Magasin 397;2024;10;Jouet A;384;238
Magasin 389;2023;9;Dentifrice;96;179
Magasin 796;2017;1;Yaourt;197;407
Magasin 618;2010;4;Jouet A;28;378
Magasin 588;2013;2;Dentifrice;145;459
Magasin 539;2019;10;Yaourt;403;166
Magasin 656;2012;8;Jouet A;187;42
Magasin 527;2018;8;Dentifrice;105;151
Magasin 380;2023;6;Yaourt;498;5
Magasin 110;2013;11;Jouet A;186;102
Magasin 858;2011;9;Dentifrice;204;36
Magasin 873;2021;9;Yaourt;434;237
Magasin 743;2013;4;Jouet A;278;167
Magasin 696;2022;5;Dentifrice;436;404
Magasin 315;2024;8;Yaourt;33;23
Magasin 274;2017;8;Jouet A;145;159
Magasin 248;2021;8;Dentifrice;115;254
Magasin 60;2013;10;Yaourt;319;366
Magasin 230;2018;7;Jouet A;73;53
Magasin 136;2017;6;Dentifrice;280;299
Magasin 742;2010;9;Yaourt;473;486
Magasin 101;2019;1;Jouet A;339;25
Magasin 397;2024;4;Dentifrice;410;407
Magasin 339;2015;7;Yaourt;275;76
Magasin 902;2017;12;Jouet A;482;355
Magasin 935;2017;8;Dentifrice;292;296
Magasin 330;2021;2;Yaourt;38;227
Magasin 131;2011;8;Jouet A;199;424
Magasin 524;2016;1;Dentifrice;221;366
Magasin 260;2024;11;Yaourt;205;303
Magasin 958;2024;10;Jouet A;164;222
Magasin 763;2022;5;Dentifrice;109;499
Magasin 535;2013;7;Yaourt;251;39
Magasin 544;2021;1;Jouet A;376;194
Magasin 931;2011;5;Dentifrice;21;79
Magasin 114;2023;7;Yaourt;379;122
Magasin 140;2019;8;Jouet A;111;221
Magasin 940;2023;7;Dentifrice;172;148
Magasin 863;2017;12;Yaourt;52;44
Magasin 684;2012;6;Jouet A;256;231
Magasin 915;2020;7;Dentifrice;35;145
Magasin 160;2013;2;Yaourt;94;476
Magasin 860;2025;8;Jouet A;486;405
Magasin 960;2026;8;Dentifrice;22;283
Magasin 795;2025;2;Yaourt;140;61
Magasin 466;2019;8;Jouet A;234;361
Magasin 770;2022;10;Dentifrice;115;324
Magasin 731;2010;6;Yaourt;263;162
Magasin 126;2016;7;Jouet A;129;184
Magasin 981;2016;8;Dentifrice;80;232
Magasin 945;2017;8;Yaourt;164;6
Magasin 133;2018;12;Jouet A;146;203
Magasin 740;2012;5;Dentifrice;163;283
Magasin 330;2026;11;Yaourt;107;352
Magasin 165;2018;1;Jouet A;391;316
Magasin 871;2011;9;Dentifrice;406;490
Magasin 322;2011;3;Yaourt;87;341
Magasin 250;2016;7;Jouet A;187;124
Magasin 791;2018;11;Dentifrice;294;41
Magasin 833;2012;11;Yaourt;293;245
Magasin 33;2015;1;Jouet A;435;427
Magasin 523;2015;1;Dentifrice;306;232
Magasin 116;2019;8;Yaourt;453;445
Magasin 544;2026;10;Jouet A;117;329
Magasin 160;2012;12;Dentifrice;29;493
Magasin 429;2021;7;Yaourt;295;284
Magasin 183;2022;8;Jouet A;118;94
Magasin 654;2013;10;Dentifrice;490;488
Magasin 465;2013;8;Yaourt;116;146
Magasin 845;2012;12;Jouet A;430;371
Magasin 149;2014;11;Dentifrice;135;329
Magasin 534;2016;1;Yaourt;59;22
Magasin 40;2026;6;Jouet A;121;226
Magasin 11;2018;2;Dentifrice;435;290
Magasin 85;2013;10;Yaourt;12;377
Magasin 208;2020;8;Jouet A;144;467
Magasin 726;2022;7;Dentifrice;21;134
Magasin 98;2022;10;Yaourt;438;353
Magasin 694;2010;11;Jouet A;268;491
Magasin 774;2021;9;Dentifrice;125;106
Magasin 549;2026;4;Yaourt;395;401
Magasin 979;2017;11;Jouet A;180;77
Magasin 415;2020;8;Dentifrice;127;11
Magasin 23;2017;5;Yaourt;53;305
Magasin 355;2012;2;Jouet A;468;223
Magasin 998;2013;3;Dentifrice;27;297
Magasin 413;2026;11;Yaourt;306;388
Magasin 770;2015;2;Jouet A;117;64
Magasin 610;2011;2;Dentifrice;116;49
Magasin 665;2018;11;Yaourt;446;393
Magasin 955;2019;6;Jouet A;37;186
Magasin 267;2017;12;Dentifrice;301;249
Magasin 832;2022;6;Yaourt;369;72
Magasin 856;2016;8;Jouet A;368;125
Magasin 232;2025;4;Dentifrice;193;239
Magasin 332;2019;8;Yaourt;365;314
Magasin 371;2017;12;Jouet A;420;79
Magasin 464;2015;4;Dentifrice;41;397
Magasin 809;2010;3;Yaourt;193;385
Magasin 92;2016;6;Jouet A;271;11
Magasin 260;2019;4;Dentifrice;186;167
Magasin 681;2013;12;Yaourt;42;339
Magasin 950;2011;10;Jouet A;372;350
Magasin 868;2020;2;Dentifrice;416;159
Magasin 683;2020;11;Yaourt;363;499
Magasin 301;2025;9;Jouet A;426;384
Magasin 236;2020;10;Dentifrice;487;194
Magasin 609;2010;10;Yaourt;411;212
Magasin 265;2024;10;Jouet A;318;379
Magasin 722;2023;12;Dentifrice;50;390
Magasin 491;2024;5;Yaourt;453;71
Magasin 207;2026;11;Jouet A;379;414
Magasin 422;2020;3;Dentifrice;110;465
Magasin 502;2011;3;Yaourt;115;377
Magasin 186;2012;1;Jouet A;240;493
Magasin 459;2023;1;Dentifrice;53;147
Magasin 746;2022;4;Yaourt;161;164
Magasin 586;2021;11;Jouet A;171;371
Magasin 798;2013;12;Dentifrice;137;47
Magasin 272;2019;1;Yaourt;108;279
Magasin 205;2011;2;Jouet A;144;117
Magasin 198;2025;2;Dentifrice;102;58
Magasin 944;2012;10;Yaourt;172;272
Magasin 253;2011;12;Jouet A;11;157
Magasin 634;2011;12;Dentifrice;347;163
Magasin 856;2014;10;Yaourt;338;54
Magasin 671;2016;12;Jouet A;384;191
Magasin 170;2016;3;Dentifrice;12;202
Magasin 945;2012;7;Yaourt;42;357
Magasin 765;2025;9;Jouet A;110;147
Magasin 629;2021;10;Dentifrice;419;382
Magasin 593;2025;6;Yaourt;405;314
Magasin 814;2012;12;Jouet A;431;237
Magasin 573;2018;12;Dentifrice;170;256
Magasin 484;2014;1;Yaourt;152;357
Magasin 210;2017;6;Jouet A;324;332
Magasin 102;2012;10;Dentifrice;338;207
Magasin 798;2011;2;Yaourt;149;443
Magasin 950;2012;12;Jouet A;189;253
Magasin 40;2023;11;Dentifrice;500;429
Magasin 253;2017;10;Yaourt;260;186
Magasin 23;2011;3;Jouet A;437;463
Magasin 757;2012;6;Dentifrice;246;226
Magasin 221;2013;6;Yaourt;413;180
Magasin 993;2020;11;Jouet A;69;346
Magasin 874;2015;9;Dentifrice;401;200
Magasin 898;2011;1;Yaourt;341;318
Magasin 930;2024;7;Jouet A;16;243
Magasin 389;2011;1;Dentifrice;174;395
Magasin 295;2018;12;Yaourt;182;321
Magasin 264;2025;4;Jouet A;353;20
Magasin 139;2025;4;Dentifrice;81;56
Magasin 997;2012;6;Yaourt;398;120
Magasin 329;2024;10;Jouet A;82;6
Magasin 439;2026;5;Dentifrice;344;323
Magasin 225;2023;9;Yaourt;383;358
Magasin 700;2013;4;Jouet A;335;63
Magasin 486;2020;2;Dentifrice;432;483
Magasin 63;2014;12;Yaourt;426;225
Magasin 9;2023;6;Jouet A;448;403
Magasin 25;2025;5;Dentifrice;480;255
Magasin 61;2021;11;Yaourt;473;416
Magasin 992;2024;11;Jouet A;492;441
Magasin 243;2021;11;Dentifrice;234;390
Magasin 54;2016;2;Yaourt;268;385
Magasin 587;2015;11;Jouet A;500;475
Magasin 280;2022;4;Dentifrice;487;203
Magasin 580;2011;7;Yaourt;291;454
Magasin 663;2015;5;Jouet A;239;305
Magasin 828;2020;3;Dentifrice;377;306
Magasin 842;2024;5;Yaourt;211;370
Magasin 18;2012;3;Jouet A;168;127
Magasin 660;2017;4;Dentifrice;272;236
Magasin 12;2026;6;Yaourt;299;331
Magasin 67;2013;5;Jouet A;281;222
Magasin 529;2020;7;Dentifrice;226;231
Magasin 458;2014;4;Yaourt;488;266
Magasin 204;2023;9;Jouet A;172;43
Magasin 196;2025;8;Dentifrice;410;423
Magasin 942;2014;4;Yaourt;219;194
Magasin 592;2014;3;Jouet A;342;74
Magasin 38;2022;11;Dentifrice;24;56
Magasin 468;2010;9;Yaourt;34;42
Magasin 167;2018;2;Jouet A;115;381
Magasin 919;2025;5;Dentifrice;369;238
Magasin 648;2010;8;Yaourt;276;344
Magasin 807;2025;7;Jouet A;334;367
Magasin 682;2015;3;Dentifrice;187;415
Magasin 839;2014;11;Yaourt;429;267
Magasin 971;2011;4;Jouet A;431;290
Magasin 708;2020;10;Dentifrice;370;208
Magasin 914;2012;2;Yaourt;321;282
Magasin 60;2026;5;Jouet A;396;495
Magasin 281;2015;1;Dentifrice;313;351
Magasin 233;2012;4;Yaourt;315;96
Magasin 826;2020;4;Jouet A;424;140
Magasin 279;2012;12;Dentifrice;65;417
Magasin 451;2011;6;Yaourt;126;259
Magasin 611;2011;7;Jouet A;199;407
Magasin 681;2012;2;Dentifrice;161;27
Magasin 929;2018;10;Yaourt;374;303
Magasin 792;2018;2;Jouet A;353;339
Magasin 199;2014;12;Dentifrice;303;25
Magasin 117;2017;5;Yaourt;143;11
Magasin 618;2018;10;Jouet A;205;221
Magasin 76;2020;7;Dentifrice;74;114
Magasin 615;2023;11;Yaourt;73;337
Magasin 17;2020;5;Jouet A;457;151
Magasin 215;2011;11;Dentifrice;68;303
Magasin 6;2016;11;Yaourt;133;407
Magasin 653;2015;7;Jouet A;152;331
Magasin 439;2013;12;Dentifrice;241;76
Magasin 893;2013;8;Yaourt;199;116
Magasin 386;2021;11;Jouet A;462;339
Magasin 315;2011;7;Dentifrice;255;389
Magasin 982;2024;10;Yaourt;433;266
Magasin 115;2011;2;Jouet A;23;222
Magasin 111;2013;8;Dentifrice;74;51
Magasin 680;2019;9;Yaourt;270;244
Magasin 429;2021;1;Jouet A;353;10
Magasin 209;2014;4;Dentifrice;324;400
Magasin 123;2022;9;Yaourt;76;55
Magasin 497;2013;12;Jouet A;489;178
Magasin 216;2023;6;Dentifrice;349;199
Magasin 847;2025;2;Yaourt;177;45
Magasin 588;2021;1;Jouet A;397;316
Magasin 136;2017;10;Dentifrice;194;147
Magasin 917;2020;5;Yaourt;434;333
Magasin 968;2020;8;Jouet A;113;55
Magasin 40;2013;4;Dentifrice;55;333
Magasin 543;2016;11;Yaourt;90;284
Magasin 749;2023;9;Jouet A;187;361
Magasin 23;2018;1;Dentifrice;368;223
Magasin 318;2013;6;Yaourt;241;110
Magasin 299;2017;10;Jouet A;356;407
Magasin 591;2020;8;Dentifrice;401;251
Magasin 262;2013;7;Yaourt;214;152
Magasin 897;2010;1;Jouet A;4;455
Magasin 103;2020;4;Dentifrice;326;257
Magasin 212;2024;1;Yaourt;497;335
Magasin 339;2026;4;Jouet A;356;374
Magasin 98;2019;5;Dentifrice;406;123
Magasin 215;2014;8;Yaourt;500;87
Magasin 405;2022;5;Jouet A;196;14
Magasin 775;2013;7;Dentifrice;45;92
Magasin 226;2013;7;Yaourt;493;97
Magasin 827;2017;12;Jouet A;368;320
Magasin 828;2011;8;Dentifrice;198;433
Magasin 47;2019;4;Yaourt;247;287
Magasin 335;2017;12;Jouet A;307;391
Magasin 656;2020;3;Dentifrice;164;319
Magasin 146;2011;11;Yaourt;306;6
Magasin 876;2024;2;Jouet A;423;331
Magasin 945;2013;6;Dentifrice;104;300
Magasin 434;2014;1;Yaourt;259;22
Magasin 513;2022;7;Jouet A;470;131
Magasin 69;2022;1;Dentifrice;154;207
Magasin 912;2025;1;Yaourt;216;119
Magasin 725;2023;3;Jouet A;280;429
Magasin 552;2013;8;Dentifrice;275;51
Magasin 984;2021;10;Yaourt;166;5
Magasin 257;2023;5;Jouet A;158;106
Magasin 963;2024;10;Dentifrice;189;189
Magasin 398;2023;12;Yaourt;139;428
Magasin 68;2012;11;Jouet A;304;213
Magasin 698;2013;3;Dentifrice;494;120
Magasin 44;2020;9;Yaourt;250;316
Magasin 347;2017;4;Jouet A;284;51
Magasin 443;2016;1;Dentifrice;22;385
Magasin 767;2019;3;Yaourt;426;489
Magasin 680;2023;11;Jouet A;348;53
Magasin 181;2013;1;Dentifrice;31;258
Magasin 351;2024;12;Yaourt;165;1
Magasin 259;2023;8;Jouet A;126;421
Magasin 858;2011;4;Dentifrice;418;302
Magasin 111;2010;5;Yaourt;313;165
Magasin 418;2013;12;Jouet A;219;43
Magasin 574;2010;6;Dentifrice;362;499
Magasin 688;2020;6;Yaourt;34;143
Magasin 766;2017;8;Jouet A;275;345
Magasin 130;2011;8;Dentifrice;229;373
